正在爬取第1页
关于开展某单位基础加强计划技术领域基金项目申报工作的通知,2023-08-07,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0807/c791a227016/page.htm,,
2023年度江苏省本科优秀毕业论文（设计）与优秀团队拟推荐名单的公示,2023-08-07,教学考试,教务处（现代教育技术中心、藕舫学院）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0807/c791a227017/page.htm,,
2023届优秀本科毕业论文（设计）拟获奖名单公示,2023-08-06,教学考试,教务处（现代教育技术中心、藕舫学院）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0806/c791a227012/page.htm,,
关于组织2023级新生英语在线测试的通知,2023-08-06,教学考试,教务处（现代教育技术中心、藕舫学院）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0806/c791a227007/page.htm,,
关于组织2023级新生数学在线测试的通知,2023-08-06,教学考试,教务处（现代教育技术中心、藕舫学院）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0806/c791a227006/page.htm,,
大物名师讲座（第210期） ——特邀中国科学院大气物理研究所周敏强副研究员作报告,2023-08-06,学术报告,大气物理学院,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0806/c791a227005/page.htm,,
2023年度省级生态环境科研项目（工程示范类）公开招标采购公告,2023-08-05,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0805/c791a226985/page.htm,,
关于做好国家留学基金委2024年“创新型人才国际合作培养项目”申报与年度总结工作的通知,2023-08-05,其他,研究生工作部、研究生院、学科建设处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0805/c791a226983/page.htm,,
特邀美国罗格斯大学纽瓦克分校郭锂教授作学术报告,2023-08-05,学术报告,数学与统计学院（公共数学教学部）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0805/c791a226981/page.htm,,
龙山遥测论坛（第二十六期）：特邀加拿大女王大学Dongmei Chen作学术报告,2023-08-04,学术报告,遥感与测绘工程学院,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0804/c791a226977/page.htm,,
大物名师讲座（第209期）—特邀中国科学院上海光机所张龙研究员作报告,2023-08-04,学术报告,大气物理学院,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0804/c791a226966/page.htm,,
关于做好2023年度国家社科基金冷门绝学研究专项申报组织工作的通知,2023-08-03,科研信息,社会科学处（校社科联、自贸区研究院）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0803/c791a226961/page.htm,,
关于北燃西区北换热站南侧、门诊楼东侧区域封闭施工的通知,2023-08-03,其他,总务处（后勤服务总公司）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0803/c791a226958/page.htm,,
国家国防科工局关于印发“十四五”技术基础科研计划第四批项目指南的通知,2023-08-03,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0803/c791a226945/page.htm,,
国防科工局“十四五”国防基础科研计划第四批项目申报的通知,2023-08-03,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0803/c791a226944/page.htm,,
南京信息工程大学消防设施设备消防维护保养项目中标结果公告,2023-08-02,招标信息,招标办,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0802/c791a226937/page.htm,,
关于组织申报2022年度“江苏省社科应用研究精品工程优秀成果”的通知,2023-08-02,科研信息,社会科学处（校社科联、自贸区研究院）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0802/c791a226924/page.htm,,
关于征集化学科学部2024年度前沿导向重点项目/重点项目群立项建议的通知,2023-08-02,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0802/c791a226923/page.htm,,
关于征集2024年度化学科学领域重大项目立项建议的通知,2023-08-02,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0802/c791a226922/page.htm,,
关于组织申报国家自然科学基金“十四五”第三批重大项目的通知,2023-08-02,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0802/c791a226921/page.htm,,
关于揽江楼西北侧和文园12栋南侧区域封闭施工的通知,2023-08-02,其他,总务处（后勤服务总公司）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0802/c791a226919/page.htm,,
正在爬取第2页
